municipio,data,semanaEpi,populacaoTCU2019,casosAcumulado,casosNovos,obitosAcumulado,obitosNovos,number_beds,number_covid_icu_beds,number_icu_beds,number_ventilators
São José do Rio Preto,3/27/2020,13,460671,0,0,0,0,0,95,232,449
São José do Rio Preto,3/28/2020,13,0,1,1,0,0,0,95,232,449
São José do Rio Preto,3/29/2020,14,0,1,0,0,0,0,95,232,449
São José do Rio Preto,3/30/2020,14,0,3,2,0,0,0,95,232,449
São José do Rio Preto,3/31/2020,14,0,6,3,0,0,0,95,232,449
São José do Rio Preto,4/1/2020,14,0,7,1,0,0,0,95,232,449
São José do Rio Preto,4/2/2020,14,0,7,0,0,0,0,95,232,449
São José do Rio Preto,4/3/2020,14,0,7,0,0,0,0,95,232,449
São José do Rio Preto,4/4/2020,14,0,9,2,0,0,0,95,232,449
São José do Rio Preto,4/5/2020,15,0,10,1,0,0,0,95,232,449
São José do Rio Preto,4/6/2020,15,0,13,3,0,0,0,95,232,449
São José do Rio Preto,4/7/2020,15,0,28,15,1,1,0,95,232,449
São José do Rio Preto,4/8/2020,15,0,36,8,1,0,0,95,232,449
São José do Rio Preto,4/9/2020,15,0,41,5,1,0,0,95,232,449
São José do Rio Preto,4/10/2020,15,0,41,0,1,0,0,95,232,449
São José do Rio Preto,4/11/2020,15,0,40,-1,1,0,0,95,232,449
São José do Rio Preto,4/12/2020,16,0,44,4,1,0,0,95,232,449
São José do Rio Preto,4/13/2020,16,0,46,2,1,0,0,95,232,449
São José do Rio Preto,4/14/2020,16,0,56,10,3,2,0,95,232,449
São José do Rio Preto,4/15/2020,16,0,61,5,3,0,0,95,232,449
São José do Rio Preto,4/16/2020,16,0,65,4,3,0,0,95,232,449
São José do Rio Preto,4/17/2020,16,0,68,3,4,1,0,95,232,449
São José do Rio Preto,4/18/2020,16,0,70,2,4,0,0,95,232,449
São José do Rio Preto,4/19/2020,17,0,71,1,6,2,0,95,232,449
São José do Rio Preto,4/20/2020,17,0,71,0,7,1,0,95,232,449
São José do Rio Preto,4/21/2020,17,0,72,1,8,1,0,95,232,449
São José do Rio Preto,4/22/2020,17,0,73,1,8,0,0,95,232,449
São José do Rio Preto,4/23/2020,17,0,74,1,8,0,0,95,232,449
São José do Rio Preto,4/24/2020,17,0,71,-3,8,0,0,95,232,449
São José do Rio Preto,4/25/2020,17,0,76,5,8,0,0,95,232,449
São José do Rio Preto,4/26/2020,18,0,77,1,8,0,0,95,232,449
São José do Rio Preto,4/27/2020,18,0,82,5,8,0,0,95,232,449
São José do Rio Preto,4/28/2020,18,0,83,1,8,0,0,95,232,449
São José do Rio Preto,4/29/2020,18,0,85,2,8,0,0,95,232,449
São José do Rio Preto,4/30/2020,18,0,88,3,8,0,0,95,232,449
São José do Rio Preto,5/1/2020,18,0,92,4,8,0,0,95,232,449
São José do Rio Preto,5/2/2020,18,0,112,20,8,0,0,95,232,449
São José do Rio Preto,5/3/2020,19,0,109,-3,8,0,0,95,232,449
São José do Rio Preto,5/4/2020,19,0,115,6,8,0,0,95,232,449
São José do Rio Preto,5/5/2020,19,0,117,2,9,1,0,95,232,449
São José do Rio Preto,5/6/2020,19,0,134,17,9,0,0,95,232,449
São José do Rio Preto,5/7/2020,19,0,142,8,10,1,0,95,232,449
São José do Rio Preto,5/8/2020,19,0,162,20,10,0,0,95,232,449
São José do Rio Preto,5/9/2020,19,0,198,36,10,0,0,95,232,449
São José do Rio Preto,5/10/2020,20,0,275,77,10,0,0,95,232,449
São José do Rio Preto,5/11/2020,20,0,276,1,10,0,0,95,232,449
São José do Rio Preto,5/12/2020,20,0,295,19,10,0,0,95,232,449
São José do Rio Preto,5/13/2020,20,0,307,12,10,0,0,95,232,449
São José do Rio Preto,5/14/2020,20,0,325,18,11,1,0,95,232,449
São José do Rio Preto,5/15/2020,20,0,349,24,12,1,0,95,232,449
São José do Rio Preto,5/16/2020,20,0,358,9,12,0,0,95,232,449
São José do Rio Preto,5/17/2020,21,0,359,1,12,0,0,95,232,449
São José do Rio Preto,5/18/2020,21,0,422,63,13,1,0,95,232,449
São José do Rio Preto,5/19/2020,21,0,428,6,16,3,0,95,232,449
São José do Rio Preto,5/20/2020,21,0,438,10,17,1,0,95,232,449
São José do Rio Preto,5/21/2020,21,0,448,10,18,1,0,95,232,449
São José do Rio Preto,5/22/2020,21,0,462,14,18,0,0,95,232,449
São José do Rio Preto,5/23/2020,21,0,537,75,18,0,0,95,232,449
São José do Rio Preto,5/24/2020,22,0,554,17,18,0,0,95,232,449
São José do Rio Preto,5/25/2020,22,0,562,8,19,1,0,95,232,449
São José do Rio Preto,5/26/2020,22,0,568,6,20,1,0,95,232,449
São José do Rio Preto,5/27/2020,22,0,585,17,20,0,0,95,232,449
São José do Rio Preto,5/28/2020,22,0,598,13,20,0,0,95,232,449
São José do Rio Preto,5/29/2020,22,0,634,36,23,3,0,95,232,449
São José do Rio Preto,5/30/2020,22,0,677,43,23,0,0,95,232,449
São José do Rio Preto,5/31/2020,23,0,697,20,23,0,0,95,232,449
São José do Rio Preto,6/1/2020,23,0,700,3,23,0,0,95,232,449
São José do Rio Preto,6/2/2020,23,0,736,36,23,0,0,95,232,449
São José do Rio Preto,6/3/2020,23,0,754,18,21,-2,0,95,232,449
São José do Rio Preto,6/4/2020,23,0,807,53,23,2,0,95,232,449
São José do Rio Preto,6/5/2020,23,0,827,20,23,0,0,95,232,449
São José do Rio Preto,6/6/2020,23,0,840,13,23,0,0,95,232,449
São José do Rio Preto,6/7/2020,24,0,862,22,26,3,0,95,232,449
São José do Rio Preto,6/8/2020,24,0,919,57,27,1,0,95,232,449
São José do Rio Preto,6/9/2020,24,0,978,59,31,4,0,95,232,449
São José do Rio Preto,6/10/2020,24,0,1006,28,31,0,0,95,232,449
São José do Rio Preto,6/11/2020,24,0,1059,53,31,0,0,95,232,449
São José do Rio Preto,6/12/2020,24,0,1169,110,34,3,0,95,232,449
São José do Rio Preto,6/13/2020,24,0,1245,76,36,2,0,95,232,449
São José do Rio Preto,6/14/2020,25,0,1284,39,37,1,0,95,232,449
São José do Rio Preto,6/15/2020,25,0,1301,17,39,2,0,95,232,449
São José do Rio Preto,6/16/2020,25,0,1323,22,42,3,0,95,232,449
São José do Rio Preto,6/17/2020,25,0,1352,29,46,4,0,95,232,449
São José do Rio Preto,6/18/2020,25,0,1364,12,46,0,0,95,232,449
São José do Rio Preto,6/19/2020,25,0,1629,265,52,6,0,95,232,449
São José do Rio Preto,6/20/2020,25,0,1718,89,53,1,0,95,232,449
São José do Rio Preto,6/21/2020,26,0,1798,80,54,1,0,95,232,449
São José do Rio Preto,6/22/2020,26,0,1832,34,55,1,0,95,232,449
São José do Rio Preto,6/23/2020,26,0,1900,68,60,5,0,95,232,449
São José do Rio Preto,6/24/2020,26,0,1993,93,60,0,0,95,232,449
São José do Rio Preto,6/25/2020,26,0,2085,92,61,1,0,95,232,449
São José do Rio Preto,6/26/2020,26,0,2236,151,66,5,0,95,232,449
São José do Rio Preto,6/27/2020,26,0,2313,77,70,4,0,95,232,449
São José do Rio Preto,6/28/2020,27,0,2477,164,71,1,0,95,232,449
São José do Rio Preto,6/29/2020,27,0,2575,98,76,5,0,95,232,449
São José do Rio Preto,6/30/2020,27,0,2597,22,80,4,0,95,232,449
São José do Rio Preto,7/1/2020,27,0,2733,136,82,2,0,95,232,449
São José do Rio Preto,7/2/2020,27,0,2881,148,84,2,0,95,232,449
São José do Rio Preto,7/3/2020,27,0,3062,181,86,2,0,95,232,449
São José do Rio Preto,7/4/2020,27,0,3070,8,91,5,0,95,232,449
São José do Rio Preto,7/5/2020,28,0,3255,185,94,3,0,95,232,449
São José do Rio Preto,7/6/2020,28,0,3328,73,98,4,0,95,232,449
São José do Rio Preto,7/7/2020,28,0,3420,92,107,9,0,95,232,449
São José do Rio Preto,7/8/2020,28,0,3610,190,112,5,0,95,232,449
São José do Rio Preto,7/9/2020,28,0,3883,273,118,6,0,95,232,449
São José do Rio Preto,7/10/2020,28,0,4080,197,123,5,0,95,232,449
São José do Rio Preto,7/11/2020,28,0,4281,201,124,1,0,95,232,449
São José do Rio Preto,7/12/2020,29,0,4417,136,130,6,0,95,232,449
São José do Rio Preto,7/13/2020,29,0,4539,122,134,4,0,95,232,449
São José do Rio Preto,7/14/2020,29,0,4687,148,137,3,0,95,232,449
São José do Rio Preto,7/15/2020,29,0,4890,203,140,3,0,95,232,449
São José do Rio Preto,7/16/2020,29,0,5300,410,150,10,0,95,232,449
São José do Rio Preto,7/17/2020,29,0,5530,230,156,6,0,95,232,449
São José do Rio Preto,7/18/2020,29,0,5597,67,164,8,0,95,232,449
São José do Rio Preto,7/19/2020,30,0,5668,71,169,5,0,95,232,449
São José do Rio Preto,7/20/2020,30,0,5682,14,173,4,0,95,232,449
São José do Rio Preto,7/21/2020,30,0,5997,315,178,5,0,95,232,449
São José do Rio Preto,7/22/2020,30,0,6618,621,181,3,0,95,232,449
São José do Rio Preto,7/23/2020,30,0,6832,214,188,7,0,95,232,449
São José do Rio Preto,7/24/2020,30,0,7037,205,197,9,0,95,232,449
São José do Rio Preto,7/25/2020,30,0,7369,332,201,4,0,95,232,449
São José do Rio Preto,7/26/2020,31,0,7578,209,204,3,0,95,232,449
São José do Rio Preto,7/27/2020,31,0,7687,109,211,7,0,95,232,449
São José do Rio Preto,7/28/2020,31,0,7687,0,211,0,0,95,232,449
São José do Rio Preto,7/29/2020,31,0,8370,683,230,19,0,95,232,449
São José do Rio Preto,7/30/2020,31,0,8654,284,236,6,0,95,232,449
São José do Rio Preto,7/31/2020,31,0,8894,240,240,4,0,95,232,449
São José do Rio Preto,8/1/2020,31,0,9124,230,243,3,0,95,232,449
São José do Rio Preto,8/2/2020,32,0,9235,111,246,3,0,95,232,449
São José do Rio Preto,8/3/2020,32,0,9312,77,249,3,0,95,232,449
São José do Rio Preto,8/4/2020,32,0,9719,407,256,7,0,95,232,449
São José do Rio Preto,8/5/2020,32,0,10033,314,260,4,0,95,232,449
São José do Rio Preto,8/6/2020,32,0,10418,385,269,9,0,95,232,449
São José do Rio Preto,8/7/2020,32,0,11035,617,275,6,0,95,232,449
São José do Rio Preto,8/8/2020,32,0,11568,533,284,9,0,95,232,449
São José do Rio Preto,8/9/2020,33,0,11809,241,291,7,0,95,232,449
São José do Rio Preto,8/10/2020,33,0,11894,85,295,4,0,95,232,449
São José do Rio Preto,8/11/2020,33,0,12036,142,303,8,0,95,232,449
São José do Rio Preto,8/12/2020,33,0,12361,325,312,9,0,95,232,449
São José do Rio Preto,8/13/2020,33,0,12655,294,317,5,0,95,232,449
São José do Rio Preto,8/14/2020,33,0,13093,438,326,9,0,95,232,449
São José do Rio Preto,8/15/2020,33,0,13461,368,328,2,0,95,232,449
São José do Rio Preto,8/16/2020,34,0,13547,86,331,3,0,95,232,449
São José do Rio Preto,8/17/2020,34,0,13622,75,337,6,0,95,232,449
São José do Rio Preto,8/18/2020,34,0,13803,181,346,9,0,95,232,449
São José do Rio Preto,8/19/2020,34,0,14073,270,351,5,0,95,232,449
São José do Rio Preto,8/20/2020,34,0,14460,387,360,9,0,95,232,449
São José do Rio Preto,8/21/2020,34,0,14646,186,366,6,0,95,232,449
São José do Rio Preto,8/22/2020,34,0,15076,430,373,7,0,95,232,449
São José do Rio Preto,8/23/2020,35,0,15284,208,378,5,0,95,232,449
São José do Rio Preto,8/24/2020,35,0,15378,94,382,4,0,95,232,449
São José do Rio Preto,8/25/2020,35,0,15518,140,392,10,0,95,232,449
São José do Rio Preto,8/26/2020,35,0,15905,387,397,5,0,95,232,449
São José do Rio Preto,8/27/2020,35,0,16223,318,402,5,0,95,232,449
São José do Rio Preto,8/28/2020,35,0,16521,298,408,6,1474,95,232,449
