Nome do setor,N°de Trabalhadores,Índice de Segurança Sanitária,Massa salarial
Agricultura e Pecuária,9776.79,49.39,26140942
Produção Florestal,33.61,50.05,77005.89
Pesca e Agricultura,14.4,50.48,25295.07
Extração de Minerais Não-metálicos,153.03,46.88,428097.3
Fabricação de Produtos Alimentícios,11128.05,49.23,28733891
Fabricação de Bebidas,982,47.11,2548600
Fabricação de Produtos Têxteis,246.18,48.37,421747.8
Fabricação de Artigos do Vestuário,5414.24,49.46,11353405
Fabricação de Artefatos de Couro e Calçados,1326.25,47.55,2478183
Fabricação de Produtos de Madeira,568.89,48.06,1233644
Fabricação de Celulose e Papel,629.54,50.16,1314178
Impressão,626.18,49.04,1262416
Fabricação de Derivados do Petroléo,1384.11,51.9,4631119
Fabricação de Produtos Químicos,884.75,48.08,2129832
Fabricação de Produtos de Borracha e de Plástico,1984.03,50.37,4831200
Fabricação de Produtos de Minerais Não-metálicos,1455.85,47.68,3523560
Metalurgia,391.67,50.98,907501.6
Fabricação de Produtos de Metal,4870.29,50.71,10679723
Fabricação de Equipamentos de Informática,93.45,49.75,187325.2
Fabricação de Máquinas e Materiais Elétricos,952.84,51.73,2315404
Fabricação de Maquinas e Equipamentos,1312.79,51.96,3575338
Fabricação de Veículos,2337.24,52.26,5982319
Fabricação de Outros Equipamentos,32,50.22,52800.84
Fabricação de Móveis,9402.31,50.25,23315577
Fabricação de Produtos Diversos,4101.45,49.59,10750922
"Manutanção, Reparação e Instalação de Máquinas e Equipamentos",1009.7,49.46,2318873
Construção de Edifícios,11105.38,42.21,35119660
Obras de Infra-estrutura,3599.13,46.8,8651924
Serviços Especializados para Construção,7195.96,43.26,18426033
Comércio,64752.53,42.4,140000000
Transporte Terrestre,11105.25,38.06,32335275
Transporte Aéreo,122,48.15,399526.7
Armazenamento e Atividades Auxiliares dos Transportes,714.56,46.21,1549597
Alojamento,1215.65,40.44,2378412
Alimentação,14632.01,36.34,28260247
Atividades Imobiliárias,2144.68,43.79,6558073
Educação,9787.21,39.94,26960611
Serviços Domésticos,12.09,40.8,26727.63
"Serviços Profissionais, Científicos e Técnicos",6527.15,47.14,18133572
Serviços Administrativos e Auxiliares,13811.45,41.77,27097836
"Artes, Cultura, Esportes e lazer",2133.88,39.7,4629681
Outros Serviços,7716.33,39.51,19230150
